cat,testname,ms
cpu,FloatMul,1.711e-6
cpu,FloatSin,5.392e-6
cpu,VecMulBroad,4.563498483316482e-5
cpu,MatMul,0.00032270168067226893
cpu,MatMulBroad,0.0001582639405204461
cpu,3DMulBroad,0.0016736
cpu,FFMPEGH264Write,231.147791
mem,DeepCopy,0.00019197826086956522
diskio,TempdirWrite,0.1875285
diskio,TempdirRead,0.069354
loading,JuliaLoad,213.5855165
loading,UsingCSV,1285.7249635
loading,UsingVideoIO,3689.6618905
loading,UsingCUDAnative,1534.9694775
loading,UsingZygote,17987.0804535
loading,UsingFlux,29970.0171635
